Name of the Mock;Method name;Input obj;Response;Method;Code;Delay;Force
Restaurant;orders?delivered=false;;"{""UndeliveredOrders"":[{""id"":2},{""id"":4},{""id"":3}]}";GET;200;4;1
Restaurant;orders;;"{""Orders"":[{""id"":1},{""id"":2},{""id"":4},{""id"":5}]}";GET;200;2;1
Restaurant;orders;"{""Name"":""Martin Novak"", ""Phone"":""783655545"", ""Meals"":[{""id"":2},{""id"":3}], ""Address"": {""Town"":""Brno"", ""Street"":""Botanicka 68"", ""PostCode"":""60200""}}";Order was saved;POST;201;3;1
Restaurant;orders;"{""Name"":""Martin Novak"", ""Phone"":""783655545"", ""Meals"":[], ""Address"": {""Town"":""Brno"", ""Street"":""Botanicka 68"", ""PostCode"":""60200""}}";Order does not have any meal;POST;400;3;1
Restaurant;order/1;;"{""id"":1,""Name"":""Martin Novak"", ""Phone"":""783655545"", ""Meals"":[{""id"":2},{""id"":3}], ""Address"": {""Town"":""Brno"", ""Street"":""Botanicka 68"", ""PostCode"":""60200""}}";GET;200;0;1
Restaurant;order/2;;Order does not exist;GET;404;0;1
Restaurant;order/1;"{""Name"":""Martin Norvak"", ""Phone"":""783655545"", ""Meals"":[{""id"":2},{""id"":3}], ""Address"": {""Tow"":""Brno"", ""Street"":""Botanicka 68"", ""PostCode"":""60200""}}";Order edited;PUT;200;0;1
Restaurant;order/1;;;DELETE;204;0;1
Restaurant;meals;;"{""Meals"":[{""id"":1,""Name"":""burger"", ""Alergens"":[1,3,4], ""Quantity"":10}, {""id"":2,""Name"":""rizoto"", ""Alergens"":[1,5], ""Quantity"":5}]}";GET;200;0;1
Restaurant;meals;"{""Name"":""burger"", ""Alergens"":[1,3,4], ""Quantity"":10}";Meal was saved;POST;201;3;1
Restaurant;meal/1;;"{""id"":1,""Name"":""burger"", ""Alergens"":[1,3,4], ""Quantity"":10}";GET;200;0;1
Restaurant;meal/10;;Meal does not exist;GET;404;0;1
Restaurant;meal/1;"{""Name"":""burger"", ""Alergens"":[1,3,4], ""Quantity"":9}";Order edited;PUT;200;3;1
Restaurant;meal/1;;Order Deleted;DELETE;204;0;1
